Case,PosErr_mm,OriErr_deg,Iterations,Converged,NumCFSol,CFBestPosErr_mm,CFBestOriErr_deg,MaxLimitViol_deg,qTrue1,qTrue2,qTrue3,qTrue4,qTrue5,qTrue6,qInit1,qInit2,qInit3,qInit4,qInit5,qInit6,qSol1,qSol2,qSol3,qSol4,qSol5,qSol6
46,1.22364236273147e-05,0,24,1,2,1.83633405912153e-12,0,0,0,0.334753917758032,-0.234161277349116,0.404737108325143,0.625634913578815,0.218589741042147,0,0.26892296007035,-0.268227879285188,0.365117403165254,0.521903684754735,0.337660292533792,-3.02860291572436e-09,0.334753935133015,-0.234161264021529,0.404737133109125,0.625634881888396,0.218589705230318
47,4.77551148108465e-06,0,28,1,1,5.50024317931561e-06,0,0,0,0.444348564086215,1.13143578612601,-0.301686589023288,-0.7218369214537,1.37075424456266,0,0.518502852672808,1.23058824527296,-0.304699839290421,-0.624818811548879,1.4660765,-6.51038750920677e-09,0.444348585140406,1.13143578904276,-0.301686586583968,-0.721836944092169,1.37075423045628
48,5.73746896267193e-06,1.70754729250319e-06,25,1,1,1.82512696320343e-12,1.20741826972573e-06,0,0,-1.20134204824543,-0.579669482508498,-0.246769983345201,1.78235453098733,-0.93527529989613,0,-1.31319217841857,-0.462030469778615,-0.329018909766965,1.75744059897532,-1.04830905051443,-1.42941153065721e-08,-1.20134206364688,-0.579669465740187,-0.246769976893842,1.78235451697765,-0.935275305767296
49,5.47450479136819e-07,0,26,1,2,2.7378448778544e-12,0,0,0,0.947244497361209,-0.402874865234341,0.349933128900312,-0.195733511347705,0.66803470771798,0,0.950955398072544,-0.293039516974997,0.250178830803421,-0.148058724041736,0.700705768202639,-4.5272215220089e-11,0.947244497039518,-0.402874865681848,0.349933104553581,-0.195733511372301,0.668034735517745
50,3.15141732287166e-06,0,27,1,2,3.41111740936873e-05,0,0,0,-1.64762913341429,0.47921402716051,-0.907264667481559,-0.332057799095937,1.23265486512439,0,-1.51845576273468,0.386899065654526,-0.880759644696909,-0.413068203042884,1.20304018754586,-4.82218440623652e-09,-1.6476291308561,0.479214015837417,-0.907264717275731,-0.332057800333781,1.23265491618399
51,1.09950685316137e-06,0,33,1,2,2.71724817191904e-12,0,0,0,-0.891628931135674,0.432286218413738,-1.08473179190131,0.3057960800859,0.386126695699932,0,-1.00082453527345,0.435083044675523,-1.20286064297672,0.228180778159662,0.260060551013187,1.0373780517172e-08,-0.891628931917967,0.432286212926994,-1.08473173660606,0.305796096070895,0.386126635105028
52,2.61709108982674e-06,0,24,1,2,1.93638969367988e-12,0,0,0,0.352978049634974,-0.747468862105203,-0.471002453871029,1.9215461777614,0.903505852271855,0,0.364357539795382,-0.779437293005944,-0.462675970645811,1.954771,1.01232678078834,-4.07273943200315e-09,0.352978056688873,-0.747468868297905,-0.471002456507929,1.92154617509903,0.903505848337006
53,1.2631378118919e-06,0,27,1,2,1.31967200064043e-12,0,0,0,-0.500299898653118,0.751399161690135,0.501516771133398,0.478489406042249,0.0237190739793909,0,-0.549077269534203,0.75774344016438,0.50447534426839,0.447927274964836,-0.0910705288210924,5.34416345905415e-09,-0.50029989765869,0.751399161237691,0.501516772331808,0.478489404651494,0.0237190804545639
54,1.02738557551545e-05,0,22,1,2,2.62785357442055e-12,0,0,0,-1.49932932102868,-0.633457750754867,0.387567705518239,-1.52896341769123,-0.257257180674132,0,-1.37614063040312,-0.580827666986795,0.260189401995044,-1.61930349208613,-0.16763361621566,-1.12107523445949e-08,-1.49932934406119,-0.633457736876434,0.387567718335122,-1.52896341734047,-0.257257197217999
55,3.2265970678769e-07,0,432,1,2,1.52593755244133e-11,0,0,0,1.71527440254895,1.1267078119706,0.503134236588008,-0.992005030444084,0.0822032653737272,0,1.66365906733413,1.2553490666043,0.378912862959565,-1.055579121272,-0.0138009701801516,2.9230648706152e-07,1.71527440241216,1.12670781179951,-2.63845848816277,0.992004895152706,3.22379621290805
56,6.67719984989658e-07,0,28,1,2,1.97076044149771e-12,0,0,0,-1.02098427883749,0.113529073525457,0.0238484665560696,1.30987578688642,1.21446776086842,0,-1.00747032969665,0.0401536931022129,-0.031422893828403,1.40673372053242,1.14591762373058,5.088592230128e-09,-1.0209842823553,0.113529077527565,0.0238484664137614,1.30987578216489,1.21446776519589
57,2.87035821612208e-06,0,22,1,1,7.46783129779171e-06,0,0,0,0.521056940800893,0.754148274664183,-0.240484260564156,-1.76219137256811,-1.2164750408263,0,0.607438533189226,0.645599587795429,-0.253247519932484,-1.86644533167348,-1.23406645812183,-9.7730405986813e-09,0.521056938505672,0.754148281635029,-0.240484280863171,-1.76219137649974,-1.21647503861472
58,2.90225618195541e-06,0,30,1,2,1.13997073078103e-12,0,0,0,-0.591086271488094,-0.122560252514051,0.414818993173857,-1.874070063009,1.01457891809718,0,-0.67162530309769,-0.123164955630138,0.444396618818759,-1.8683648745039,1.03775434816969,-7.24249485900717e-08,-0.591086264167757,-0.122560261484961,0.414819051645727,-1.87407003720879,1.01457897743852
59,6.68710155752755e-06,1.20741826972573e-06,32,1,2,1.63404690107061e-12,1.20741826972573e-06,0,0,-0.707189866612888,0.0935798218899628,0.0436655523848204,0.551041281325654,-0.936351488711259,0,-0.818400653911572,0.0602621749151737,0.0758215935663882,0.659820722304507,-0.878327943242863,1.8310218673603e-07,-0.707189855747234,0.0935798042571737,0.0436652082939138,0.551041285249787,-0.936351204760343
60,1.2363240125704e-08,0,39,1,2,2.41700273798997e-12,0,0,0,1.35515274500858,-1.33693583595425,0.252688068047181,1.01285643223721,-0.8016682706307,0,1.47947394240702,-1.343902,0.133837583030451,1.06598648972439,-0.678709625178817,-8.79965318972951e-10,1.36166770480381,-1.34912499456635,0.251809657600589,1.01835106387658,-0.80000178861382
61,6.79084914938473e-06,0,25,1,1,1.23286005374106e-12,0,0,0,-0.593558174460765,0.33575604556019,-0.293276936898613,1.17687551356881,-0.16647651135061,0,-0.514429836316649,0.426741070774714,-0.297244003958582,1.07009548067119,-0.139693432568671,-1.89326271149994e-08,-0.593558157943868,0.335756018491645,-0.293276936387031,1.17687551823983,-0.166476523222498
62,3.39424940188033e-07,1.20741826972573e-06,35,1,2,2.05504922819405e-12,1.20741826972573e-06,0,0,0.646377132419821,-1.27228351893405,0.292471227173764,1.52795441951153,-0.920571067988222,0,0.608972007336506,-1.18112294219279,0.17109267475339,1.53705740940321,-0.975776243601101,4.88656883218291e-10,0.646377107443071,-1.27228347201424,0.292471229210038,1.52795439249912,-0.920571068791187
63,5.03573199786849,0.0196187381457871,1500,0,0,NaN,NaN,1.77249718563055,0,-1.95079591187159,-0.666155761257783,-0.255552820920018,-1.47628890825022,-0.207874658482656,0,-1.88726969091373,-0.554243211640104,-0.362807806366388,-1.37315236615846,-0.139567470066305,3.95177201100428e-06,-1.91986,-0.718681583267432,-0.256151535792442,-1.45574433675047,-0.202375242635179
